id_partida,ano_copa,data_hora,id_fase,fase_grupo,tipo_fase,id_estadio,id_time1,time1,img_time1,gols_time1,placar,gols_time2,id_time2,time2,img_time2,win_conditions,publico_partida,arbitro,assistente1,assistente2
3091,1994,05 Jul 1994 - 13:00 ,9501,Oitavas de Finais,Fase de Mata-Mata,123,57,NGA,https://api.fifa.com/api/v3/picture/flags-sq-5/NGA,1,"1-1(1-2)",2,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,Italy win after extra time ,54367,BRIZIO CARTER Arturo (MEX),TAIBI Ernesto (ARG),ZARATE Venancio (PAR)
3092,1994,05 Jul 1994 - 16:30 ,9501,Oitavas de Finais,Fase de Mata-Mata,118,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX,1,"1-1(1-1)[1-3]",1,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL,Bulgaria win on penalties (1 - 3) ,71030,AL SHARIF Jamal (SYR),FANAEI Mohammad (IRN),AL GHATTAN Yousif Abdulla (BAH)
3097,1994,09 Jul 1994 - 12:00 ,9601,Quartas de Finais,Fase de Mata-Mata,123,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,2,2-1,1,12,ESP,https://api.fifa.com/api/v3/picture/flags-sq-5/ESP, ,53400,PUHL Sandor (HUN),DUNSTER Gordon (AUS),MATTHYS Luc (BEL)
3098,1994,09 Jul 1994 - 14:30 ,9601,Quartas de Finais,Fase de Mata-Mata,115,55,NED,https://api.fifa.com/api/v3/picture/flags-sq-5/NED,2,2-3,3,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA, ,63500,BADILLA Rodrigo (CRC),AL GHATTAN Yousif Abdulla (BAH),FANAEI Mohammad (IRN)
3096,1994,10 Jul 1994 - 12:00 ,9601,Quartas de Finais,Fase de Mata-Mata,118,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL,2,2-1,1,10,GER,https://api.fifa.com/api/v3/picture/flags-sq-5/GER, ,72000,TORRES CADENA Jose Joaquin (COL),ZARATE Venancio (PAR),MARTON Sandor (HUN)
3095,1994,10 Jul 1994 - 12:30 ,9601,Quartas de Finais,Fase de Mata-Mata,122,70,ROU,https://api.fifa.com/api/v3/picture/flags-sq-5/ROU,2,"1-1(2-2)[4-5]",2,6,SWE,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE,Sweden win on penalties (4 - 5) ,83500,DON Philip (ENG),PEARSON Roy (ENG),PARK Hae-Yong (KOR)
3100,1994,13 Jul 1994 - 16:00 ,9701,Semifinais,Fase de Mata-Mata,118,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL,1,1-2,2,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA, ,74110,QUINIOU Joel (FRA),CHRISTENSEN Carl-Johan Meyer (DEN),PEARSON Roy (ENG)
3099,1994,13 Jul 1994 - 16:30 ,9701,Semifinais,Fase de Mata-Mata,119,6,SWE,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE,0,0-1,1,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA, ,91856,TORRES CADENA Jose Joaquin (COL),MARTON Sandor (HUN),MATTHYS Luc (BEL)
3103,1994,16 Jul 1994 - 12:30 ,9803,3º/4º Lugar,Fase de Mata-Mata,119,6,SWE,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE,4,4-0,0,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL, ,91500,BUJSAIM Ali (UAE),RHARIB El Jilali Mohamed (MAR),TAIBI Ernesto (ARG)
3104,1994,17 Jul 1994 - 12:30 ,9999,Final,Fase de Mata-Mata,119,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,0,"0-0(0-0)[3-2]",0,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,Brazil win on penalties (3 - 2) ,94194,PUHL Sandor (HUN),ZARATE Venancio (PAR),FANAEI Mohammad (IRN)
